0,1,1098.3056
0,2,2263.5313
0,9,1154.9649
0,11,2478.5986
0,12,797.8024
0,13,614.7020
0,14,888.0314
0,15,941.8991
0,21,1001.2181
0,31,1347.9914
0,35,587.1276
0,39,789.6436
0,44,870.6308
0,55,639.0599
0,56,780.4124
0,58,841.6060
0,60,1169.9676
0,61,296.4141
0,70,1310.5512
0,71,1067.9376
0,73,1637.8670
0,77,1998.1683
0,79,1121.2121
0,90,948.6947
0,92,607.8049
0,97,1016.6665
0,98,1640.3172
0,101,1055.1520
0,110,855.2189
0,114,654.6144
0,118,982.1238
0,120,1020.6665
0,122,724.0968
0,124,1011.0715
0,125,1302.4216
0,133,1156.8970
0,143,1211.5561
0,181,122.6272
0,226,122.6272
0,227,2071.0367
0,228,903.7685
0,256,941.8991
1,0,1098.3056
1,2,2400.1182
1,9,1424.0392
1,12,414.5191
1,13,786.6691
1,14,669.0664
1,15,1082.5601
1,21,1258.2325
1,31,277.1776
1,35,516.1837
1,39,323.7690
1,44,629.5539
1,48,2298.2348
1,55,461.0703
1,56,356.1399
1,58,549.5645
1,60,173.2238
1,61,807.0343
1,64,2437.5808
1,70,710.0813
1,71,155.1879
1,73,1629.7630
1,79,1301.7358
1,90,497.1646
1,92,913.7350
1,97,924.3428
1,98,746.0224
1,99,1782.3589
1,101,74.4182
1,110,253.6384
1,114,1089.1365
1,118,621.1998
1,120,1157.9413
1,122,815.2067
1,124,1189.5309
1,125,235.9400
1,133,1035.5366
1,143,1407.6409
1,181,1193.9244
1,226,1193.9244
1,227,2074.5375
1,228,461.4492
1,256,1082.5601
2,0,2263.5313
2,1,2400.1182
2,9,1117.7773
2,11,849.3228
2,12,2069.8239
2,13,1827.7353
2,14,1764.9217
2,21,1289.0390
2,24,2378.9896
2,31,2376.2322
2,35,2220.2733
2,39,2390.0399
2,44,1808.2425
2,55,2249.5760
2,56,2174.3515
2,60,2271.9144
2,61,2201.7950
2,64,507.9978
2,70,1754.0705
2,71,2245.6075
2,73,771.5102
2,77,1121.7784
2,79,1186.9547
2,87,1457.6648
2,90,1912.4264
2,97,1498.0955
2,98,2064.0941
2,101,2440.9056
2,110,2387.4740
2,114,1627.6279
2,120,1324.2377
2,124,1312.5722
2,125,2359.9269
2,133,1368.9017
2,143,1080.3107
2,181,2197.0405
2,226,2197.0405
2,228,1960.6734
3,8,1409.8495
3,69,1337.4028
3,76,1302.5764
3,82,1895.3380
3,102,1369.6163
3,128,1119.5623
3,155,1359.8889
3,184,1335.4932
3,187,1377.0408
3,188,1359.8889
3,246,1304.0143
4,6,504.8048
4,16,2361.6497
4,52,2366.7306
4,141,1832.5041
4,234,2361.6497
4,255,588.2984
6,4,504.8048
6,52,1862.3346
6,141,1328.7146
6,255,691.0877
7,32,431.6539
7,36,35.2867
7,57,647.0969
7,59,114.7536
7,66,1649.2908
7,111,168.9568
7,144,95.0942
7,161,41.3056
7,200,1076.5083
7,243,166.1620
8,3,1409.8495
8,54,1557.3674
8,69,118.6906
8,76,184.1702
8,82,2166.1145
8,102,64.3907
8,136,1800.8061
8,155,122.2909
8,184,128.5276
8,187,212.7862
8,188,122.2909
8,203,1561.8407
8,246,105.8619
9,0,1154.9649
9,1,1424.0392
9,2,1117.7773
9,11,1513.4867
9,12,1035.1301
